path,methods,module,params,files
"/api/custom_domains","POST|PUT|GET|DELETE","custom_domains","cert_url|domain_name|key_url|team_id","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/custom_domains/for/show","GET","custom_domains","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/email/auth","POST","email","","fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;xiumius_home_index.js"
"/api/email/auth_action","POST","email","action|code","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js"
"/api/email/change_email","POST","email","email","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/email/reset_password","POST","email","email|randstr|ticket","001c3aa82e__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js;001c3aa82e37__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js.js;edt_auth_index.js"
"/api/email/validate_email","POST","email","action","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/fonts/youziku/get_batch_woff_font_face","","fonts","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/forms","GET","forms","page|per_page","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/forms/count","PUT|GET|DELETE","forms","","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/forms/data/forshow","DELETE|GET","forms","","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/forms/excel","GET","forms","","fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;xiumius_home_index.js"
"/api/forms/export","GET","forms","export_all|export_type|file_type|per_page","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js"
"/api/forms/query/export","GET","forms","","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js"
"/api/fragment","DELETE","fragment","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/fragments","POST","fragments","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/fragments/up","POST","fragments","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/fragments/used","GET","fragments","team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/fragments/v5","GET|DELETE|POST","fragments","limit|new_tag|offset|old_tag|order|tag|team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/help","DELETE","help","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/help/add","POST","help","doc_type|key|overwrite|recursive","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/help/check","DELETE","help","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/help/recommended","DELETE|POST","help","type","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/help/search","GET","help","key|limit|nostat|offset|type","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
