module,path,methods,verified,probe_status,params,query
"teams","/api/teams","DELETE|GET|POST|PUT","live","200","auth|desc|display_name|email|enterprise_member|info|member_visibility|right_public_create|role|role_type",""
"teams","/api/teams/sub_account","DELETE|POST|PUT","bundle","","email|password",""
"templates","/api/templates","GET","live","200","keywords|limit|match_level|page|q|sort|tag_category|tag_ids|template_category","limit|match_level|page|q|sort|tag_category|tag_ids|template_category"
"templates","/api/templates/allowed","POST","bundle","","resources",""
"templates","/api/templates/items","GET","live","200","atom_tpl_id","atom_tpl_id"
"templates","/api/templates/tags","GET","probe","400","tag_category|tag_level|tag_name",""
"templates","/api/templates/tags_tree","GET","live","400","tag_category|tag_level_from|tag_level_to|template","tag_category|tag_level_from|tag_level_to|template"
"upload","/api/upload/token","GET","probe","400","team_id|upload_type",""
"upload-cdn","/api/upload-cdn/image/file","POST","bundle","","formData",""
"upload-cdn","/api/upload-cdn/token","POST","bundle","","",""
"user","/api/user/avatar/clear","POST","bundle","","",""
"user","/api/user/blacklist","GET","live","200","",""
"user","/api/user/frozen","POST","bundle","","",""
"user","/api/user/identity","GET|POST","live","200","",""
"user","/api/user/info","GET","live","200","include","include"
"user","/api/user/info/avatar","PUT","bundle","","avatar_url",""
"user","/api/user/info/bind-phone","PUT","bundle","","",""
"user","/api/user/info/coin","GET","live","200","",""
"user","/api/user/info/email","DELETE|PUT","bundle","","code|email",""
"user","/api/user/info/extendlifebycoin","POST","bundle","","coin",""
"user","/api/user/info/invitation","GET","live","200","",""
"user","/api/user/info/nickname","PUT","bundle","","nickname",""
"user","/api/user/info/phone","PUT","bundle","","area_code|clear_email|code|phone",""
"user","/api/user/info/transfercoin","POST","bundle","","area_code|transfer_count|transfer_email",""
"user","/api/user/info/upgradebycoin","POST","bundle","","",""
"user","/api/user/password","PUT","bundle","","email|password",""
"user","/api/user/reset-phone","DELETE|GET|POST","live","200","",""
"user","/api/user/template_membership","GET","live","200","",""
"user","/api/user/template_membership_state","GET","probe","200","",""
"user","/api/user/traffic_package_info","GET","live","200","",""
"user","/api/user/traffic_package_list/for","GET","probe","404","limit",""
"user","/api/user/unbind_apple","POST","bundle","","force",""
"user","/api/user/unbind_qq","POST","bundle","","force",""
"user","/api/user/unbind_wechat","POST","bundle","","force",""
"user","/api/user/unbind_weibo","POST","bundle","","force",""
"user_home","/api/user_home","GET","probe","404","",""
"user_home","/api/user_home/follow","GET|POST","probe","404","",""
"user_home","/api/user_home/followers","GET","probe","200","limit|page",""
"user_home","/api/user_home/my/info","PUT","bundle","","desc|name",""
"user_home","/api/user_home/my/published/exhibits","DELETE|POST","bundle","","show_id",""
"user_home","/api/user_home/my/published/exhibits/orders","POST","bundle","","",""
"user_home","/api/user_home/published/user","GET","probe","404","limit|page",""
"user_home","/api/user_home/published/user/{hash}/exhibits/on_mypage","GET","live","","","limit|page"
"user_home","/api/user_home/published/user/{hash}/info","GET","live","","",""
"user_home","/api/user_home/sold/user","GET","probe","404","access_token|end_date|limit|page_height|page_width|start_date",""
"user_home","/api/user_home/tag","GET","probe","404","",""
"user_home","/api/user_home/tag/add","POST","bundle","","published_shows_id|tag",""
"user_home","/api/user_home/tag/clear/{param}","POST","bundle","","",""
"user_home","/api/user_home/tag/order","GET|POST","live","404","order",""
"user_home","/api/user_home/tag/remove/{param}/{param2}","DELETE","bundle","","",""
"user_home","/api/user_home/tag/rename","DELETE","bundle","","new_tag|old_tag",""
"user_home","/api/user_home/tag/shows/{show_id}/{show_id2}","DELETE","bundle","","limit|page",""
"user_home","/api/user_home/tag/tagorder/{hash}","GET","live","","",""
"user_home","/api/user_home/tag/tagorder/{param}","GET","bundle","","",""
"user_home","/api/user_home/tag/tags/{tag_id}/{tag_id2}","GET","bundle","","",""
"user_setting","/api/user_setting","GET|POST","probe","200","settings",""
"user_setting","/api/user_setting/background","POST","bundle","","background",""
"user_setting","/api/user_setting/palette","GET|POST","probe","200","team_id|user_id",""
"user_setting","/api/user_setting/show-receive-type","POST","bundle","","showReceiveType",""
"user_setting","/api/user_setting/watermark","GET|POST","probe","200","team_id",""
"user_setting","/api/user_setting/watermark-all","GET","probe","200","",""
"wallet","/api/wallet/bills","GET","live","200","limit|page","limit|page"
"wallet","/api/wallet/my/balance","GET","live","200","",""
"wallet","/api/wallet/team_balance","GET","probe","200","limit",""
"wallet","/api/wallet/team/balance","GET","probe","404","",""
"wallet","/api/wallet/team/bills","GET","probe","404","limit|page",""
"wechat","/auth/wechat","","probe","200","",""
"weibo","/auth/weibo","","probe","200","",""
